"","state","mean_pm25"
"1","Wyoming",3.37205752363041
"2","Pennsylvania",7.49259046874811
"3","Ohio",8.61042149624878
"4","New Mexico",3.55486094092816
"5","Maryland",8.54866324560782
"6","Rhode Island",6.05643796022791
"7","Oregon",3.03065798508845
"8","Puerto Rico",NA
"9","Wisconsin",5.79812001880496
"10","North Dakota",4.58499227717269
"11","Nevada",3.3139474610234
"12","Georgia",9.6686435096073
"13","New York",5.16031031659707
"14","Arkansas",9.13461082716842
"15","Kansas",5.32412316732541
"16","Nebraska",4.29200016267559
"17","Utah",3.50507159830459
"18","Alaska",2.09411619266175
"19","Mississippi",9.00415159877236
"20","Oklahoma",6.60876099022205
"21","West Virginia",7.42761379847923
"22","Michigan",5.04220737019984
"23","Colorado",3.3261862579069
"24","New Jersey",7.90983239436615
"25","Delaware",8.30454549326105
"26","Montana",3.07750316404126
"27","Washington",3.26715851876401
"28","Connecticut",5.90391724882442
"29","California",4.76932269475931
"30","Kentucky",9.03366432265455
"31","Massachusetts",5.46428603013538
"32","Florida",7.05144801491575
"33","Idaho",3.53516665840979
"34","Missouri",8.2047588057098
"35","Hawaii",NA
"36","Alabama",9.90517945860542
"37","South Carolina",9.33672618374288
"38","New Hampshire",4.4184208531396
"39","South Dakota",4.22130682777789
"40","Illinois",8.40940070944159
"41","Tennessee",8.77790802961887
"42","Indiana",8.85714358881327
"43","Iowa",6.85192985533285
"44","Arizona",4.21922482075271
"45","Minnesota",4.86673761760344
"46","Louisiana",8.67223980485385
"47","District of Columbia",10.7581005948882
"48","Virginia",7.80238912122758
"49","Texas",6.18356662912924
"50","Vermont",4.28144996138473
"51","Maine",3.49639223148648
"52","North Carolina",8.0928484020654
