"","state","mean_pm25"
"1","Wyoming",4.14560047290296
"2","Pennsylvania",9.78032823057108
"3","Ohio",11.164122228356
"4","New Mexico",4.11050894448422
"5","Maryland",11.3043643517198
"6","Rhode Island",8.08765325543481
"7","Oregon",3.72072951790291
"8","Puerto Rico",NA
"9","Wisconsin",7.28517744994358
"10","North Dakota",4.28942080739891
"11","Nevada",4.11715678058245
"12","Georgia",12.4266100794623
"13","New York",6.62673039084319
"14","Arkansas",10.8421483374879
"15","Kansas",6.54033318342808
"16","Nebraska",5.02680339897381
"17","Utah",4.17472623201841
"18","Alaska",2.1152281647928
"19","Mississippi",11.0631564373805
"20","Oklahoma",7.99095510265514
"21","West Virginia",10.4886373114596
"22","Michigan",6.61719703793409
"23","Colorado",3.99675343743667
"24","New Jersey",10.7226400729228
"25","Delaware",11.0267967937724
"26","Montana",3.80925307629459
"27","Washington",4.03532320551593
"28","Connecticut",8.25093831099466
"29","California",5.20052554253648
"30","Kentucky",11.849892645789
"31","Massachusetts",7.55543207849984
"32","Florida",8.81457309032539
"33","Idaho",4.46282304112098
"34","Missouri",9.6209261054568
"35","Hawaii",NA
"36","Alabama",12.8653248839343
"37","South Carolina",12.1427335310791
"38","New Hampshire",5.80561856481104
"39","South Dakota",4.53622582302502
"40","Illinois",10.5991263970028
"41","Tennessee",11.4546282383768
"42","Indiana",11.3797053312851
"43","Iowa",8.45929060066522
"44","Arizona",4.92536568047827
"45","Minnesota",5.58549180736718
"46","Louisiana",10.5091861924223
"47","District of Columbia",14.3067039457779
"48","Virginia",11.1585803998899
"49","Texas",7.5442268714748
"50","Vermont",5.35104212146635
"51","Maine",4.36780812328309
"52","North Carolina",10.9998008662947
