"","state","mean_pm25"
"1","Wyoming",4.16783172902657
"2","Pennsylvania",10.6146499007613
"3","Ohio",12.1485494482094
"4","New Mexico",4.28131054117442
"5","Maryland",12.0901487969948
"6","Rhode Island",8.3615227667843
"7","Oregon",3.66781464411768
"8","Puerto Rico",NA
"9","Wisconsin",7.42335199604512
"10","North Dakota",4.43436974220196
"11","Nevada",4.13597255834922
"12","Georgia",12.3503256524227
"13","New York",7.31526952733723
"14","Arkansas",11.4201375976709
"15","Kansas",6.93243817624189
"16","Nebraska",5.42609408808617
"17","Utah",4.21679874369114
"18","Alaska",2.09231304399653
"19","Mississippi",11.4797313713575
"20","Oklahoma",8.22643406166756
"21","West Virginia",10.7306963469039
"22","Michigan",7.19026960086548
"23","Colorado",4.24613090437143
"24","New Jersey",11.0300706014722
"25","Delaware",11.7057569729302
"26","Montana",3.61360647083645
"27","Washington",4.10764407779329
"28","Connecticut",8.52337811054692
"29","California",5.28388069101692
"30","Kentucky",12.631443092896
"31","Massachusetts",7.82054849157536
"32","Florida",8.7480681152121
"33","Idaho",4.0921295757947
"34","Missouri",10.2943180128588
"35","Hawaii",NA
"36","Alabama",12.8882582252525
"37","South Carolina",12.1944359562441
"38","New Hampshire",6.0646975593718
"39","South Dakota",4.71890938022414
"40","Illinois",11.7519870213365
"41","Tennessee",12.1402248981197
"42","Indiana",12.4768606450797
"43","Iowa",8.69266007506379
"44","Arizona",4.68721534242591
"45","Minnesota",5.72477636822737
"46","Louisiana",11.1812305284966
"47","District of Columbia",15.6111731609153
"48","Virginia",11.633980675528
"49","Texas",7.82015522017145
"50","Vermont",5.77501186766997
"51","Maine",4.81092337225699
"52","North Carolina",11.3109884705831
