"","state","mean_pm25"
"1","Wyoming",3.40220650223867
"2","Pennsylvania",7.81130627092063
"3","Ohio",8.99819790660089
"4","New Mexico",3.45086276486144
"5","Maryland",8.96265441817658
"6","Rhode Island",6.23272037436513
"7","Oregon",3.43356888010076
"8","Puerto Rico",NA
"9","Wisconsin",6.25119031854869
"10","North Dakota",4.4426063459528
"11","Nevada",3.57293539284984
"12","Georgia",10.2140272731531
"13","New York",5.36115769425342
"14","Arkansas",9.09045897454175
"15","Kansas",5.55608601262397
"16","Nebraska",4.44408085399221
"17","Utah",3.47938738873429
"18","Alaska",2.3702873304724
"19","Mississippi",9.1180863536073
"20","Oklahoma",6.66882298531279
"21","West Virginia",7.82223624969739
"22","Michigan",5.2514444141137
"23","Colorado",3.3504584978563
"24","New Jersey",8.26647587316998
"25","Delaware",8.68874427994711
"26","Montana",3.14407362541754
"27","Washington",3.80343516733873
"28","Connecticut",6.04959482668068
"29","California",4.74423446380173
"30","Kentucky",9.52861148589034
"31","Massachusetts",5.67184874402876
"32","Florida",7.33990436122719
"33","Idaho",3.55224351186134
"34","Missouri",8.26986873482594
"35","Hawaii",NA
"36","Alabama",10.3404662462092
"37","South Carolina",9.74385582834713
"38","New Hampshire",4.40402373629288
"39","South Dakota",4.37538428410837
"40","Illinois",8.86905324096274
"41","Tennessee",8.97693134449766
"42","Indiana",9.19020075670999
"43","Iowa",7.49499052760693
"44","Arizona",4.38250923015639
"45","Minnesota",5.30091563798801
"46","Louisiana",8.43877209450694
"47","District of Columbia",11.3620111582665
"48","Virginia",8.4020375362014
"49","Texas",6.06647092832649
"50","Vermont",4.23078969269008
"51","Maine",3.57452922795224
"52","North Carolina",8.50201899533123
