"","state","mean_pm25"
"1","Wyoming",3.99511537992806
"2","Pennsylvania",9.15215402046051
"3","Ohio",9.99726458061941
"4","New Mexico",3.97905333746427
"5","Maryland",10.615949657111
"6","Rhode Island",7.69007589200471
"7","Oregon",3.77176341799644
"8","Puerto Rico",NA
"9","Wisconsin",7.07882639661059
"10","North Dakota",4.34835509978997
"11","Nevada",4.1881762793231
"12","Georgia",11.934572225736
"13","New York",6.19974476761084
"14","Arkansas",9.87348649794395
"15","Kansas",5.96292016608286
"16","Nebraska",4.7407029201862
"17","Utah",4.03865982318522
"18","Alaska",2.30421803175167
"19","Mississippi",10.3666122535309
"20","Oklahoma",7.24197784853351
"21","West Virginia",9.35978219522731
"22","Michigan",6.2527893705268
"23","Colorado",3.80150416685039
"24","New Jersey",9.97773864058704
"25","Delaware",10.6325063910723
"26","Montana",3.78635375801112
"27","Washington",3.94697399186258
"28","Connecticut",7.62188411282764
"29","California",5.53196490918506
"30","Kentucky",11.0954347296901
"31","Massachusetts",6.84998687899957
"32","Florida",8.6973094760699
"33","Idaho",4.37086174328248
"34","Missouri",8.64731840665394
"35","Hawaii",NA
"36","Alabama",12.3824649534681
"37","South Carolina",11.5461308145094
"38","New Hampshire",5.23358069605812
"39","South Dakota",4.41107839447502
"40","Illinois",9.39160728723223
"41","Tennessee",10.6667860026121
"42","Indiana",9.93024745829778
"43","Iowa",7.45730937478363
"44","Arizona",4.9753164149121
"45","Minnesota",5.44323312897256
"46","Louisiana",9.82042133581373
"47","District of Columbia",13.6039105900173
"48","Virginia",10.4496916023271
"49","Texas",7.03142478212349
"50","Vermont",4.82046489420539
"51","Maine",4.10832437454431
"52","North Carolina",10.4498330433036
