"","state","mean_pm25"
"1","Wyoming",4.33740049550211
"2","Pennsylvania",11.5096890615022
"3","Ohio",13.5710863809727
"4","New Mexico",4.81503075119429
"5","Maryland",13.6386637190695
"6","Rhode Island",8.95694282856121
"7","Oregon",3.95840683462096
"8","Puerto Rico",NA
"9","Wisconsin",8.01878588180572
"10","North Dakota",4.70802122295837
"11","Nevada",3.87909945575472
"12","Georgia",13.094835940557
"13","New York",7.9319345953546
"14","Arkansas",12.4308080446179
"15","Kansas",7.29569802224225
"16","Nebraska",6.08575624968212
"17","Utah",3.92033995247653
"18","Alaska",2.41992827184002
"19","Mississippi",13.0995096634165
"20","Oklahoma",8.80945432138778
"21","West Virginia",12.0314500663591
"22","Michigan",7.99814941227037
"23","Colorado",4.75628716166811
"24","New Jersey",11.9875930171276
"25","Delaware",14.064055384085
"26","Montana",4.16701155340249
"27","Washington",4.26621883866182
"28","Connecticut",9.76280821722504
"29","California",5.86745493766514
"30","Kentucky",14.3956216382355
"31","Massachusetts",8.48926213469316
"32","Florida",9.64788969424818
"33","Idaho",4.19484600847138
"34","Missouri",11.612148294103
"35","Hawaii",NA
"36","Alabama",14.2615224623162
"37","South Carolina",13.3802878701673
"38","New Hampshire",6.60959404487628
"39","South Dakota",5.42762759343088
"40","Illinois",13.0955117973889
"41","Tennessee",13.8586591637449
"42","Indiana",13.4303671353356
"43","Iowa",9.65085226086295
"44","Arizona",5.04071556698883
"45","Minnesota",6.31044779537971
"46","Louisiana",11.8751796581976
"47","District of Columbia",16.6240223719421
"48","Virginia",12.7894451418511
"49","Texas",9.19684824639502
"50","Vermont",6.53610574215582
"51","Maine",5.35387517861185
"52","North Carolina",12.5015585188358
